English
White-furred wolves who wander the upper floors of the grove. Dangerous when fought in packs.
A large, ferocious wolf. This aggressive, red- furred monster is known for its sharp bite.
Small, omnivorous rodents that will attack any threat to their territory.
A dangerous rat that can set itself aflame. Its unique biology makes it resistant to heat.
When threatened, these rotund hares will meet the danger with their sharp teeth.
A rabbit that has gained a taste for blood. Be cautious against its sharp incisors.
A creature which rolls by curling up its body. The tactic is also used to defend itself.
A creature with armor- like hide. Though quite difficult to damage, its attacks are negligible.
A mole which waits for its prey underground, then strikes with its sharp claws.
Similar to the Mole, but with sharper nails. Be on guard for their powerful swipes.
Though naturally docile, these strong creatures can be ferocious if forced into battle.
A mammoth whose tusks are so strong that a single strike is enough to fell most warriors.
A mammoth so immense that its steps shake the earth. Fleeing it is no shame for novices.
A species of deer with magnificent horns and beautiful fur, which can fascinate adventurers.
This golden-furred buck lives deep in the forest, and is rarely sighted by humans.
A bull that attacks anything within sight. Its full-speed rush is something to be feared.
From its habitat deep within the forest, it attacks all intruders with its large horns.
Bears with thick muscles and long claws. Novice adventurers should avoid them at all costs.
Man-eating bears whose fur has been stained red with the blood of their victims.
A blue-furred ursine which uses its silver claws to drown victims in their own blood.
A formless, translucent jelly that engulfs passing animals for its meals.
These formless jellies contain a deadly poison to more easily hunt their prey.
A flammable jelly able to set itself on fire. This ability allows it to hunt larger game.
The jelly this creature is made of can reach high enough temperatures to cook nearby animals.
This creature, which evolved in the forest, can swallow human-sized creatures in one gulp.
Called the king of the crocodiles, its natural arsenal makes it an unstoppable juggernaut.
A large frog native to the forest. Adventurers with any experience should have no problems.
A dangerous nuisance of a black frog, whose croak affects the human nervous system.
King of the frogs, dwelling deep in the forest. It boasts unusually high stamina.
A gigantic hard-shelled turtle that preys on unwary adventurers in the Labyrinth.
Even older than its cousin, this intelligent turtle is a formidable enemy in the Labyrinth.
A bug whose shell is impervious to physical harm. Other forms of attack are advised.
This insect of the deep strata has evolved to become resistant to many forms of attack.
Lord of the forest beetles. The average adventurer can't even dent its tough skin.
A forest dragonfly large enough to make meals of passing Labyrinth explorers.
The emperor of the forest dragonflies. Its strong jaws can crack open anything.
A wasp with a very painful sting. Where you see one, there are always others nearby.
Deadly red bees whose stingers contain a lethal poison. Those with low stamina should beware.
Long, thin earthworm that lives under the soil. Its mucus-covered skin reflects attacks.
Giant worm that makes its home near water. Asphyxiates its prey in the manner of a snake.
Butterflies often seen at the forest entrance. Easy prey even for novice adventurers.
This more advanced breed of butterfly secretes a dangerous poison from its wings.
This deadly species of butterfly is easily underestimated due to its beauty.
A demonic butterfly, said to be a messenger from hell. Ruler of all the butterflies.
Spiders that have evolved to hunt prey aggressively rather than trap it passively.
The silken threads these spiders weave are used to bind unlucky Labyrinth explorers.
These scorpions rely on their poisonous tail for offense and their hard shell for defense.
The cold metal tail of this lurking scorpion is tipped with an especially deadly venom.
A large ant with lethal mandibles that never strays far from its queen in the forest.
An ant capable of firing a mucus-like liquid at its prey. Exercise due caution.
The largest ant in the Labyrinth, this breed is capable of healing itself in battle.
These trees are capable of independent motion, and their branches are tipped with poison.
This arboreal terror wraps its pliable branches around its prey to kill it.
Woe to the traveler who confuses this plant for an ordinary species of flora.
Aggressive plants accustomed to the taste of human flesh. Keep well clear of these.
The sweet scent of these blossoms can cloud adventurers' senses, making them easy prey.
This flower's defensive abilities preemptively stop adventurers from using certain skills.
Inhaling this flower's pollen can induce drowsiness in weak- willed adventurers.
A bird so resistant to fire, they say, that it consumes flame as its sustenance.
A large bird whose entrancing singing voice doubles as an alarm to call for help.
A very quick avian with a sharp beak. Strike hard and fast to counter its tremendous speed.
This legendary bird can achieve uncanny flight speeds. Always be on your guard.
A vicious, bloodthirsty bird which lashes out instantly at anything that moves.
A flying fish of the Labyrinth. Lunges at its prey with its sharp, sword-like wings.
A vexing fish that can perform many dangerous aerial tricks as it flies.
A crab that grew large on the forest's bounty. Its favorite meal is the unprepared adventurer.
Its metal pincers will shear through even the most hardened armor, so beware its claws.
Huge, aggressive beast that dwells deep in the Labyrinth. Its scales are hard as a dragon's.
One of the Labyrinth's most powerful monsters, its strong jaws could shatter diamonds.
The forest folk's rank- and-file soldiers. Their duty is to eliminate any and all intruders.
An elite warrior class of the forest folk. They snap intruders in two easily as a twig.
Members of the forest folk who defend their homeland with strange spiritual powers.
Forest druids blessed by the tribe's guardian to wield powerful magic against their enemies.
Similar to the forest folk, these humanlike fae enjoy making trouble for adventurers.
The rulers of the pixie civilization, their assaults against humans are more malicious.
The forest folk's deadliest warriors. Their thick arms crush even veteran explorers.
Evolving ever more in harmony with nature, these forest folk took on a more demonic look.
A huge man-eating mantis. Defeating one is a rite of passage for novice adventurers.
One swing of this mantis' scythed arms can decapitate an adventurer effortlessly.
This large, plump, flightless bird compensates with its quick foot speed.
Like the Moa, but intelligent enough to use its feet to kick as well as to sprint.
An odd, human-shaped plant. It's said the sight of one will bring adventurers bad luck.
This plant's loud scream causes weak adventurers to become disoriented and confused.
Though it appears weak, this root is actually very powerful. Stay on your guard against it.
A beast that makes its nest in the Primitive Jungle. Be prepared before challenging it.
Ruler of the Primitive Jungle. Named for an ancient horned god who watched over nature.
Tremendous ant queen of the Azure Rainforest. Attended by giant guardian ants.
A guardian beast of the forest folk. Master of wind and water, it swims through the air.
The forest folk's guardian bird, called "Beak-Cracks-Boulders" in an ancient tongue.
The form the Chieftain took as the Lord of Yggdrasil, when he fused with the Labyrinth.
A legendary wyrm that has lived thousands of years. Facing it usually brings one's own death.
No explorer can withstand the attacks from this ice dragon's three maws.
A fusion of a the forest folk and a flower, its attacks are as varied as they are deadly.
The Labyrinth's core, which erected the Claret Hollows to protect itself.
A deadly beast that has no difficulty destroying anything it wishes with its lightning.
A wise but evil beast whose tail's strong poison will instantly kill an opponent.
Mysterious man-made construct that comes alive to attack whatever draws near.
A warrior from the far east. Her skill with a blade astonishes even veteran adventurers.
A red-haired sorceress in abyssal black robes. Can control living beings with her voice.
The fire-eating bird you had to fight off to retrieve the lost lucky coin.
The insect devouring the fruit of the forest. It's easily lured with its favorite food.
This plant's tentacles blocked the doors in the Labyrinth until it was slain.
Spider that nested in the elevators of Lost Shinjuku. Its thread is as strong as steel.
A strong rat native to Claret Hollows. Though they prefer cheese, they will also eat humans.
Cernunos' partners. By themselves, they pose rather less of a threat.
A vitality-draining bat that lurked near the machine on B21F in Lost Shinjuku.
A nocturnal frog that appears on B18F. It ambushes its prey at night by spitting venom.
A frog that comes out at night on B18F to ambush prey with its cursed croak.
White-pelted wolves who hunt in the Labyrinth's upper reaches, under Fenrir's command.
Leader of the wolf pack on the upper floors. Its fanged jaws have claimed many lives.
Beast with needle-sharp teeth. If you can avoid those, you should emerge unharmed.
A gold-bristled boar that uses its immense weight to overpower its foes.
A large forest bat. Rarely poses trouble to adventurers who keep their wits about them.
A bloodsucking forest bat that looks much more dangerous than it actually is.
A tree spirit in human form. Many adventurers are lured by its beauty to their deaths.
Among the oldest of the Labyrinth's tree spirits, its alluring appearance belies its strength.
One of Yggdrasil's buds. Its size prevents it from posing a real threat to explorers.
The rare evolved form of Yggdrasil's bud that grows deep within the Labyrinth.
Very rare four-leafed Yggdrasil bud. The chances of encountering one are extremely low.
A human-sized cell that will attack any invading body, even adventurers.
A human-sized cell that will attack any invading body, even adventurers.
A large beast that shreds adventurers with its sword-like teeth.
A crustacean that zealously guards its fountain home with its claws.
An extremely aggressive horned monster whose uncontrollable fury gives it lethal strength.
A large bull that will charge at the slightest provocation. Approach it with great caution.
A type of scorpion that carries one of the deadliest poisons known to mankind.
The evolved Deathant. It has similar abilities, but its strength is vastly enhanced.
The evolved Guardant. If not defeated quickly, it will continue to call its brethren.
This ruthless crab shreds adventurers to ribbons almost as if for sport.
A bird that hunts deep in the Labyrinth. The most prudent option may be to flee.
A clone of the Dragon created to protect the Labyrinth's deepest floor.
A clone of the Wyrm created to protect the Labyrinth's deepest floor.
A clone of the Drake created to protect the Labyrinth's deepest floor.
