Arma blanca que cualquiera puede usar. AT+6
Cuchillo grande concebido para el combate. AT+8
Espada pequeña creada a partir de pequeños colmillos de animal. AT+9
Arma de combate fabricada con un duro caparazón. AT+15
Espada corta de caza con la forma del colmillo de una bestia. AT+29  FZA+3
Espada de acero de doble filo con una hoja ancha. AT+34
Espada de acero, larga y afilada, con una empuñadura que protege la mano. AT+45
Espada larga de doble filo perfecta para atravesar cualquier material. AT+57  FZA+5  VIT+2
Hoja de acero, larga y curvada. AT+63
Espada grande de acero a dos manos con empuñadura en forma de cruz. AT+78
Espada larga fabricada con la garra de un monstruo llamado garra asesina. AT+97  FZA+6  TÉC+4
Espada larga de hoja ancha con empuñadura dorada en forma de S. AT+106
Espada larga y maciza forjada con acero de Damasco. AT+125
Espada fina de hoja afilada, concebida para realizar estocadas. AT+139  FZA+8  AGI+5
Espada larga de punta afilada, ideal para realizar estocadas. AT+151
Espada larga con empuñadura curva, utilizada para aplastar a los enemigos. AT+167
Espada larga de hoja curva en forma de onda. AT+182  FZA+13
Espada legendaria que fue forjada por semihumanos en las profundidades de la Tierra. AT+200  FZA+14  AGI+9
Espada larga y tan afilada que atraviesa hasta las escamas de los dragones. AT+250  Atributos+20
Pequeña hacha de mano fabricada con hueso animal. AT+11
Pequeña hacha de mano con un filo creado a partir de duros caparazones. AT+18
Hacha en forma de L con hoja forjada con un enorme y afilado colmillo. AT+32
Hacha de acero con una hoja afilada diseñada para aplastar a los enemigos. AT+44
Hacha de guerra de acero con una hoja concebida para cortar extremidades. AT+58
Hacha reforzada con una resistente empuñadura de garra de pájaro. AT+77  FZA+3
Hacha de acero con una hoja en forma de media luna. AT+86
Poderosa hacha de batalla de acero que se empuña a dos manos. AT+97
Enorme hacha de batalla con una hoja mellada en forma de media luna. AT+104  FZA+6
Arma grande que combina una lanza y un hacha. AT+116
Varita que se usa para aumentar la concentración al conjurar hechizos. AT+3
Hacha grande conocida como "la hoja que machaca rocas." AT+151
Hacha con una hoja afilada y de doble filo forjada con acero de Damasco. AT+162 FZA+9
Hacha de mano con una hoja forjada con acero de un meteorito. AT+179
Gran hacha de guerra con hoja de do- ble filo, fabricada con cuernos áureos. AT+198
Hacha con hoja de acero de meteorito y parras fuertemente ceñidas entre sí. AT+207 FZA+11
Legendaria hacha de guerra que arde al golpear a un enemigo. AT+200  FZA+9  Elemento: Fuego
Hacha que puede destruir estrellas, creada con el brazo de un gólem. AT+240  FZA+14
Hacha de mano fácil de usar. AT+9
Bastón a dos manos para aventureros. AT+3  TÉC+1
Bastón creado con huesos de animales. AT+5
Maza con púas creada a partir de huesos y colmillos de animales. AT+15  PV+7
Bastón a dos manos de madera ligera, decorado con plumas. AT+22  TÉC+2
Llamativa arma formada por el coxis y la garra de un animal. AT+47  PV+11
Pequeño y fino bastón con un brillante ojo de cristal en la punta. AT+53  TÉC+4
Maza que se usa para abatir a los enemigos. AT+70  PV+15
Misterioso bastón que, según dicen, brinda buena suerte a su portador. AT+78  STE+5
Maza con una esfera con púas en la punta, usada para abatir enemigos. AT+99  PV+19
Vara con un cristal en la punta que ayuda al portador a concentrarse. AT+109  TÉC+10
Martillo de guerra ideal para destrozar a los enemigos. AT+131  PV+22
Varita mística que aumenta la concentración de su portador. AT+100  TÉC+15
Varita legendaria que otorga sabiduría a su portador. AT+150  TÉC+20  PT+30
